Line	Error?	Address	A	B	C	Source
1						//-------------------------------------------------------\\
2						//                                                       \\
3						//-------------------------------------------------------\\
4						//                                                       \\
5						
6						      DC   MemTop    $0FFFFFFF
7						      //DC   EXCPRC    0
8						      //DC   Process   2
9						      //DC   PRNCHR    3
10						      //DC   PRNCHRF   8
11						      //DC   TEMP      12
12						
13		$00000000:00000000				      ORG 0
14		$00000000:00000000	$0000000C	$0000000C	$0FFFF000	      subleq  TEMP  TEMP  COLD           // Cold Boot
15						
16		$00000000:00000003	$0FFFF0BB	$FFFFFFAA		EXCPRC:  DD  ONE  rgProtected
17		$00000000:00000005	$00000000			Process: DD  0                           // Gancho para chamar um novo processo
18						
19						// Imprimir um caracter. A posição com zero será substituida pelo endereço do caracter
20		$00000000:00000006	$00000000	$FFFFFFE2	$00000009	PRNCHR:  subleq  0  Port_2
21		$00000000:00000009	$0000000C	$0000000C		         DD  TEMP  TEMP
22		$00000000:0000000B	$00000000			PRNCHRF: DD  0                           // Aqui vai a chamada de retorno (subleq  TEMP  TEMP <ret>)
23						
24		$00000000:0000000C	$00000000			TEMP: DA   0                             // Espaco reservado para dados temporarios
25						
26						      // area de inicio de programa
27		$00000000:0000007C				      ORG  124
28						
29						      // Cabeçalho do programa
30		$00000000:0000007C	$00000081			CSINI_:   DA  PROGR_   // Início da área de código
31		$00000000:0000007D	$00000113			CSEND_:   DA  PRETPRT_ // Fim da área de código
32		$00000000:0000007E	$00000115			DSINI_:   DA  NEG_     // Início da área de dados
33		$00000000:0000007F	$00000131			DSEND_:   DA  END_     // Fim da área de dados
34		$00000000:00000080	$00000114			REEND_:   DA  PCHR_    // Fim da área de dados a serem recalculados para bater com os endereços reais
35						
36						      // Inicia bloco de realocável (relativo) até o fim do programa (END_)
37		$00000081:00000000				      REL END_
38						
39						// CODE SEGMENT
40		$00000081:00000000	$00000099	$00000018	$00000003	PROGR_:  subleq  BUF_                    // Limpa BUF_
41		$00000081:00000003	$FFFFFFAB	$00000099	$00000006	         subleq  rgCS_Start  BUF_        // BUF_ = -[PINITXT_] = -rgCS_Start
42		$00000081:00000006	$00000099	$00000090	$00000009	         subleq  BUF_  PINITXT_          // PINITXT_ = PINITXT_ - [BUF_] = PINITXT_ + rgCS_Start
43		$00000081:00000009	$00000099	$00000091	$0000000C	         subleq  BUF_  PFIMTXT_          // PFIMTXT_ = PFIMTXT_ - [BUF_] = PFIMTXT_ + rgCS_Start
44		$00000081:0000000C	$00000099	$00000092	$0000000F	         subleq  BUF_  PRETPRT_          // PRETPRT_ = PRETPRT_ - [BUF_] = PRETPRT_ + rgCS_Start
45		$00000081:0000000F	$00000099	$00000093	$00000012	         subleq  BUF_  PCHR_             // PCHR_ = PCHR_ - [BUF_] = PCHR_ + rgCS_Start
46						
47		$00000081:00000012	$0000009A	$00000019	$00000015	         subleq  PNT_                    // Limpa PNT_
48		$00000081:00000015	$00000099	$00000018	$00000018	         subleq  BUF_                    // Limpa BUF_
49		$00000081:00000018	$00000090	$00000099	$0000001B	         subleq  PINITXT_  BUF_              // BUF_ = -[PINITXT_] = -INITXT_
50		$00000081:0000001B	$00000099	$0000009A	$0000001E	         subleq  BUF_  PNT_              // PNT_ = -[BUF_] = INITXT_
51						
52		$00000081:0000001E	$00000098	$00000017	$00000021	LOOP_:   subleq  TMP_                    // Limpa TMP_
53		$00000081:00000021	$00000097	$00000016	$00000024	         subleq  CHR_                    // Limpa CHR_
54		$00000081:00000024	$00000099	$00000018	$00000027	         subleq  BUF_                    // Limpa BUF_
